subject,body,spam
"🎉 You Have Won $1,000,000! Claim Now!","Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our $1,000,000 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 24 hours.",1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your bank account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 48 hours, your account will be permanently disabled.",1
💼 Work from Home & Earn $5000 Per Week!,"Hello, We are offering a high-paying work-from-home opportunity where you can earn $5000 per week! No experience required. Just provide your full name, phone number, and a small $50 registration fee. Limited slots available! Apply now.",1
💰 Invest $500 and Get $5000 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of $500 will turn into $5000 in just one week! Click here to invest now.,1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-FAKE-HELP for assistance.",1
🎁 You’ve Won a $500 Amazon Gift Card!,"Hello, You have been randomly selected to receive a $500 Amazon Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 12 hours!",1
❤️ Someone Has a Crush on You!,"Hey there, A secret admirer has sent you a message on our dating platform! Click the link below to read your love note and start chatting now!",1
Your Netflix Subscription Is Expiring! Renew Now!,"Dear Customer, Your Netflix subscription is about to expire! To continue enjoying your favorite shows, please update your payment details. If you do not renew within 24 hours, your account will be suspended.",1
"✅ Get an Instant Loan Up to $50,000! No Credit Check!","Dear Customer, Need quick cash? Get approved for a loan up to $50,000 with zero credit check! Low interest rates, instant approval, no paperwork required. Apply now.",1
🌟 50% OFF on Weight Loss Pills – Limited Time!,"Hey there, Are you struggling with weight loss? Our new miracle weight loss pill is clinically proven to help you shed 10 lbs in just 2 weeks! Order now and get 50% OFF – Limited stock available!",1
🔒 Your PayPal Account Has Been Locked!,"Dear User, We detected unusual activity in your PayPal account. To restore access, please verify your identity immediately by clicking the link below.",1
📦 Your Package Is On Hold – Verify Now!,"Dear Customer, Your package could not be delivered due to an address issue. Please confirm your shipping details immediately to avoid return.",1
💳 Your Credit Card Has Been Charged $999.99!,"Dear User, We have processed a transaction of $999.99 on your credit card. If you did not authorize this payment, click the link below to cancel.",1
🚨 FINAL NOTICE: Claim Your Free iPhone 15!,Congratulations! You have been selected to win a free iPhone 15. Click below to claim your reward before it expires!,1
🔥 Hot Stock Alert! 1000% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 1000% increase in just 3 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🎊 Exclusive Offer: Free Vacation to the Bahamas!,You have been selected for a free luxury vacation to the Bahamas! Just pay a small processing fee and book your trip today!,1
📢 Special Promo: Get 90% Off Luxury Watches!,Limited time offer! Get high-end luxury watches at an incredible 90% discount. Click the link below to grab your deal before stocks run out!,1
📱 Claim Your Free Gift Card Now!,Congratulations! You have been chosen to receive a free $100 Amazon gift card. Click the link below to claim your reward instantly!,1
"🚀 Make $10,000 Per Month With This Secret!","Discover the secret strategy to making $10,000 per month online. No skills required! Click here to learn more and start earning today!",1
💼 Government Grants Available – Claim Yours Today!,"You may qualify for a special government grant of up to $50,000. Apply now before the funding runs out!",1
