subject,body,spam
💼 Work from Home & Earn 1139 Per Week!,"Hello, We are offering a high-paying work-from-home opportunity where you can earn 6378 per week! No experience required. Just provide your full name, phone number, and a small $50 registration fee. Limited slots available! Apply now.",1
💼 Work from Home & Earn 5263 Per Week!,"Hello, We are offering a high-paying work-from-home opportunity where you can earn 8576 per week! No experience required. Just provide your full name, phone number, and a small $38 registration fee. Limited slots available! Apply now.",1
💰 Invest 2712 and Get 4591 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 1506 will turn into 9774 in just one week! Click here to invest now.,1
💰 Invest 2175 and Get 7901 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 1317 will turn into 7546 in just one week! Click here to invest now.,1
🔥 Hot Stock Alert! 242% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 815% increase in just 8 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🚀 Make $12202 Per Month With This Secret!,Discover the secret strategy to making $15902 per month online. No skills required! Click here to learn more and start earning today!,1
🔥 Hot Stock Alert! 203% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 149% increase in just 9 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🔥 Hot Stock Alert! 378% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 113% increase in just 1 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your Bank account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 61 hours, your account will be permanently disabled.",1
🎁 You’ve Won a Amazon Gift Card!,"Hello, You have been randomly selected to receive a Amazon Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 48 hours!",1
🔥 Hot Stock Alert! 905% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 818% increase in just 5 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
🎁 You’ve Won a Apple Gift Card!,"Hello, You have been randomly selected to receive a Apple Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 48 hours!",1
🎁 You’ve Won a Amazon Gift Card!,"Hello, You have been randomly selected to receive a Walmart Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 7 hours!",1
🚀 Make $12383 Per Month With This Secret!,Discover the secret strategy to making $18383 per month online. No skills required! Click here to learn more and start earning today!,1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-562-1936 for assistance.",1
🚀 Make $12081 Per Month With This Secret!,Discover the secret strategy to making $16233 per month online. No skills required! Click here to learn more and start earning today!,1
🔥 Hot Stock Alert! 334% Growth Potential!,Invest in the hottest stock of the year! Experts predict a 322% increase in just 7 months. Don’t miss out on this once-in-a-lifetime opportunity!,1
📢 Special Promo: Get 75% Off Luxury Watches!,Limited time offer! Get high-end luxury watches at an incredible 72% discount. Click the link below to grab your deal before stocks run out!,1
💰 Invest 2183 and Get 9291 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 3999 will turn into 2758 in just one week! Click here to invest now.,1
💰 Invest 755 and Get 9994 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of 4284 will turn into 2198 in just one week! Click here to invest now.,1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-607-3516 for assistance.",1
💳 Your Credit Card Has Been Charged $2536!,"Dear User, We have processed a transaction of $3822 on your credit card. If you did not authorize this payment, click the link below to cancel.",1
