subject,body,spam
"🎉 You Have Won $1,000,000! Claim Now!","Dear Lucky Winner, Congratulations! You have been selected as the lucky winner of our $1,000,000 cash prize. To claim your prize, please provide your full name, contact number, and bank details. Act fast! This offer expires in 24 hours.",1
🚨 Your Account Will Be Suspended! Urgent Action Required!,"Dear Customer, We have noticed unauthorized access to your bank account. To protect your funds, please verify your identity immediately by clicking the link below. If you do not verify within 48 hours, your account will be permanently disabled.",1
💼 Work from Home & Earn $5000 Per Week!,"Hello, We are offering a high-paying work-from-home opportunity where you can earn $5000 per week! No experience required. Just provide your full name, phone number, and a small $50 registration fee. Limited slots available! Apply now.",1
💰 Invest $500 and Get $5000 in a Week!,Hey there! Looking for a 100% guaranteed investment return? Our crypto trading platform guarantees that an investment of $500 will turn into $5000 in just one week! Click here to invest now.,1
🛑 WARNING: Your Computer Is Infected! Call Now!,"Dear User, Our system has detected a severe virus infection on your computer. Immediate action is required to prevent data loss. Please call our toll-free helpline: 1-800-FAKE-HELP for assistance.",1
🎁 You’ve Won a $500 Amazon Gift Card!,"Hello, You have been randomly selected to receive a $500 Amazon Gift Card. To claim your prize, please confirm your details by clicking the link below. Hurry, this offer expires in 12 hours!",1
❤️ Someone Has a Crush on You!,"Hey there, A secret admirer has sent you a message on our dating platform! Click the link below to read your love note and start chatting now!",1
Your Netflix Subscription Is Expiring! Renew Now!,"Dear Customer, Your Netflix subscription is about to expire! To continue enjoying your favorite shows, please update your payment details. If you do not renew within 24 hours, your account will be suspended.",1
"✅ Get an Instant Loan Up to $50,000! No Credit Check!","Dear Customer, Need quick cash? Get approved for a loan up to $50,000 with zero credit check! Low interest rates, instant approval, no paperwork required. Apply now.",1
🌟 50% OFF on Weight Loss Pills – Limited Time!,"Hey there, Are you struggling with weight loss? Our new miracle weight loss pill is clinically proven to help you shed 10 lbs in just 2 weeks! Order now and get 50% OFF – Limited stock available!",1
